R1_1994	0	13	0	0	0	0	0	0	39	0	10	0	0	0	0	0	0
R2_1994	0	5	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0
R3_1994	0	11	0	0	0	66	0	0	0	0	10	0	0	0	0	0	0
R4_1994	23	12	0	0	10	0	0	0	0	0	0	0	11	0	0	0	0
R5_1994	0	15	0	0	10	0	0	48	0	0	0	0	0	0	0	0	0
R6_1994	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0
R7_1994	0	16	0	0	0	13	12	33	0	0	0	0	9	0	0	0	0
R9_1994	0	0	20	0	33	0	0	0	0	0	0	0	0	0	0	0	0
R10_1994	0	13	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0
R11_1994	0	0	0	0	0	0	15	0	0	0	39	0	0	0	0	0	0
R12_1994	0	18	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0
R13_1994	0	0	24	0	55	0	0	0	0	0	0	0	0	0	0	0	0
R14_1994	0	0	10	0	43	0	0	0	0	0	0	0	0	0	0	0	0
R15_1994	0	0	0	0	64	16	0	0	0	0	0	0	0	0	0	0	0
SK2_1994	0	0	0	0	11	0	0	0	12	0	31	22	0	0	0	0	0
SK3_1994	0	0	0	0	0	0	10	0	13	0	62	0	0	0	0	0	0
SK4_1994	0	0	21	0	18	0	29	0	0	0	0	0	0	0	0	0	0
SK5_1994	0	0	0	0	44	0	0	0	0	0	11	0	0	0	0	0	0
SK6_1994	0	0	0	0	46	0	0	0	0	0	14	0	0	0	0	0	0
SK7_1994	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0
SK8_1994	0	0	0	0	15	0	0	0	0	0	71	0	0	0	0	0	0
SK10_1994	0	0	0	0	47	0	0	0	12	0	12	0	0	0	0	0	0
SK11_1994	0	0	0	9	52	0	0	0	0	0	0	0	0	0	0	0	0
SK12_1994	0	0	11	0	14	0	12	0	0	0	35	0	0	0	0	0	0
SK13_1994	0	0	0	0	64	0	0	0	10	0	0	0	0	0	0	0	0
SK15_1994	0	0	13	0	18	0	0	45	0	0	0	0	0	0	0	0	0
SK16_1994	0	0	0	0	17	0	10	0	0	0	58	0	0	0	0	0	0
SK17_1994	0	0	0	0	0	0	0	0	48	10	0	0	0	0	0	0	0
