	Aca_Eriop_Aceria_parapopu	Aca_Eryth_1_1	Ara_Salti_Metacyrb_1	Ara_Salti_Talavera_1	Ara_Salti_1_7	Ara_Salti_1_8	Ara_Salti_1_9	Ara_Thomi_Misumeno_2	Ara_Thomi_1_1	Ara_Thomi_1_2	Col_Anthi_1_1	Col_Bupre_1_1	Col_Cicin_1_1	Col_Cocci_Adalia_bipuncta	Col_Cocci_Coccinel_septum	Col_Cocci_Cryptola_1	Col_Cocci_Harmonia_axyridis	Col_Cocci_Hippodam_converge	Col_Cocci_1_1	Col_Curcu_1_1	Col_Lampy_1_1	Col_Melyr_1_1	Col_Silph_1_1	Der_Forfi_1_1	Dip_Agrom_Hexomyza_schineri	Dip_Cerat_1_1	Dip_Chiro_1_1	Dip_Empid_1_1	Dip_Musci_1_1	Dip_Ottit_1_1	Dip_Phori_1_1	Dip_Syrph_1_4	Hem_Antho_Anthocor_antevole	Hem_Aphid_Chaitoph_popullel	Hem_Aphid_Pemphigu_populica	Hem_Aphid_Pemphigu_populigl	Hem_Aphid_Pemphigu_populitr	Hem_Aphid_Thecabiu_populico	Hem_Aphid_Thecabiu_populimo	Hem_Cerco_1_1	Hem_Cicad_Gypona_1	Hem_Cicad_1_2	Hem_Cicad_1_3	Hem_Cicad_1_4	Hem_Cicad_1_5	Hem_Cicad_1_6	Hem_Cicad_1_7	Hem_Cicad_1_8	Hem_Cicad_1_11	Hem_Cicad_1_12	Hem_Cicad_1_14	Hem_Cixii_1_1	Hem_Diasp_Lepidosa_ulmi	Hem_Membr_1_1	Hem_Mirid_1_2	Hem_Mirid_1_5	Hem_Penta_Brochyme_1	Hem_Penta_Euschist_1	Hem_Penta_Podisus_1	Hem_Rhopa_Leptocor_trivitta	Hem_Tingi_1_1	Hym_Andre_1_1	Hym_Braco_1_2	Hym_Braco_1_3	Hym_Encyr_1_1	Hym_Formi_Formica_1	Hym_Formi_Tetramor_caespitu	Hym_Tenth_Phylloco_1	Lep_Gelec_Anacamps_niveopul	Lep_Geome_1_1	Lep_Graci_Phyllocn_1	Lep_Lyone_Paraleuc_albella	Lep_Noctu_1_1	Lep_Tortr_Gypsonom_haimbach	Lep_1_1_1	Neu_Chrys_Argia_5	Neu_Raphi_1_1	Odo_Coena_1_1	Ort_Gryll_Oecanthu_1	Ort_Tetti_1_1	Thy_Thrip_1_1	Thy_1_1_2	Hem_Aphid_Pemphigu_betae
bc2_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	2	21	0	0	0	0	0	1	1	30	4	12	0	0	7	2	0	0	1	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	1	0	0	0	0	1	0	58
bc3_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	12	1	3	0	0	3	0	0	0	0	1	231	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	1	0	36
bc4_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	4	0	0	0	0	0	4	0	4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	1	0	0	0	0	0	5	0	0	0	3	2	0	0	0	0	0	0	5
bc5_03	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	3	4	0	5	0	0	3	3	1	0	0	0	0	1	3	0	3	2	2	0	0	4	2	0	0	0	0	0	0	0	0	0	0	3	4	0	0	1	0	0	0	0	0	0	0	4	0	0	1	3	0	0	0	0	1	1	0	8
bc6_03	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	5	10	0	1	0	0	0	2	0	15	4	7	0	0	10	3	0	1	0	0	0	1	2	0	1	0	0	6	0	0	1	0	1	0	24	1	0	0	2	2	1	1	1	0	0	0	0	1	2	0	81
bc7_03	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	4	5	0	3	0	0	1	0	12	0	2	0	0	2	0	0	13	2	3	0	0	14	0	0	0	4	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	2	0	0
bc8_03	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	3	0	0	1	3	3	0	0	0	0	0	6	1	4	1	1	0	0	7	0	0	0	4	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	15
bc9_03	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	3	0	0	0	0	2	0	0	0	0	9	0	0	10	0	5	0	1	5	1	1	0	6	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	1	2	0	2	0	1	0	0	0	0	2	0	19
bc10_03	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	2	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
na1_03	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	1	0	3	0	0	0	0	8	0	0	0	0	0	1	0	25	3	16	0	1	18	0	0	0	4	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	1	0	2	0	7	0	1	0	0	0	0	0	19
na2_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	3	12	0	0	0	0	0	2	1	25	2	2	0	0	30	1	0	0	1	0	0	0	0	0	0	1	1	11	0	0	0	0	3	0	0	2	0	0	2	0	1	0	2	2	0	1	0	0	0	0	27
na3_03	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	1	0	0	0	0	25	1	0	9	1	1	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	2	0	0	0	2	0	0	17
na4_03	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	1	1	0	1	0	0	10	0	0	0	0	0	17	1	2	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0
na5_03	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	2	0	1	0	0	0	9	2	0	0	0	0	0	4	0	11	5	6	0	0	16	1	0	0	0	0	0	0	4	1	0	0	1	6	0	0	0	0	0	0	0	3	0	0	4	0	0	0	2	0	0	0	0	0	1	0	79
na6_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	1	0	1	0	0	1	1	3	0	0	0	0	0	3	0	8	2	2	0	0	7	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	1	4	0	0	1	0	0	0	0	0	0	0	35
na7_03	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	3	6	0	0	0	0	0	0	1	6	4	3	0	0	4	1	0	0	1	0	0	1	0	0	0	0	2	10	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	1	0	25
na8_03	1	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	1	0	0	0	0	0	6	0	0	0	0	8	3	1	9	3	7	0	0	31	0	0	0	1	0	0	0	0	1	0	0	0	5	0	0	0	0	1	0	0	10	0	0	6	4	0	0	1	3	0	0	1	0	0	0	1
na9_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	1	1	0	0	0	6	1	0	1	0	0	0	0	1	24	0	9	0	0	8	0	0	0	6	0	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	1	0	3
na10_03	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	23	1	0	6	0	3	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	1	3	0	8	1	1	0	0	0	0	3	0	8
