	Ara_Arane_Metapeir_1	Ara_Salti_1_10	Ara_Theri_1_2	Ara_Thomi_1_2	Col_Cocci_1_2	Col_Curcu_1_1	Col_Silph_1_1	Dip_Bibio_1_1	Hem_Cicad_1_11	Hem_Lygae_1_2	Hem_Penta_Euschist_1	Hem_Penta_Thyanta_1	Hem_Tingi_1_1	Hym_Halic_1_1	Hym_Ptero_1_1	Ara_Salti_1_7	Col_Cicin_1_1	Col_Cocci_Hippodam_converge	Hem_Membr_1_1	Hem_Mirid_1_1	Hym_Andre_1_1	Hym_Braco_1_3	Hym_Braco_1_4	Hym_Eupel_1_2	Lep_Geome_1_1	Neu_Raphi_1_1	Ort_Gryll_Oecanthu_1	Ara_Salti_Metacyrb_1	Hym_Eulop_1_1	Hym_Mymar_1_1	Hym_Tenth_Nematus_1	Ara_Salti_Bredana_1	Col_Lampy_1_1	Col_Melyr_1_1	Ara_Salti_1_8	Col_Anthi_1_1	Col_Melyr_1_2	Lep_Noctu_1_1	Ara_Salti_1_9	Ara_Thomi_Misumeno_1	Col_Curcu_Microtyp_2	Hem_Aphid_Pemphigu_populica	Hym_Formi_Formica_propinqu	Dip_Chlor_1_1	Lep_Tortr_1_5	Lep_Tortr_1_6	Odo_Coena_1_1	Ara_Clubi_Chiracan_1	Ara_Salti_Metaphid_1	Col_Cocci_Cryptola_1	Col_Cocci_1_1	Ara_Philo_Philodro_1	Col_Cocci_Coccinel_septum	Der_Forfi_1_1	Hem_Cicad_1_12	Hem_Cixii_1_1	Hym_Formi_Formica_1	Dip_Empid_1_1	Hem_Cicad_Gypona_1	Hem_Reduv_Phymata_1	Ort_Tetti_1_1	Col_Bupre_1_1	Dip_Ottit_1_1	Hym_Braco_1_2	Ara_Salti_Metaphid_2	Col_Cocci_Scymnus_1	Hem_Penta_Brochyme_1	Dip_Agrom_1_1	Hem_Cicad_1_6	Lep_Tortr_1_4	Hem_Mirid_Ceratoca_1	Ara_Thomi_1_1	Dip_Syrph_1_4	Hem_Aphid_Pemphigu_populigl	Ara_Thomi_Misumeno_2	Ara_Salti_Talavera_1	Col_Cocci_Adalia_bipuncta	Dip_Agrom_Hexomyza_schineri	Hem_Aphid_Pemphigu_populitr	Thy_Thrip_1_1	Hem_Cicad_1_5	Thy_Aeolo_1_1	Hem_Aphid_Thecabiu_populico	Hem_Cicad_1_14	Thy_1_1_2	Col_Cocci_Harmonia_axyridis	Col_Melyr_1_4	Hem_Penta_Podisus_1	Hym_Encyr_1_1	Lep_Gelec_Anacamps_niveopul	Lep_Tortr_Gypsonom_haimbach	Hem_Antho_Anthocor_antevole	Hem_Cicad_1_8	Hem_Mirid_1_6	Dip_Phori_1_1	Hem_Mirid_1_2	Lep_1_1_1	Hym_Formi_Tetramor_caespitu	Hem_Mirid_1_5	Hem_Cerco_1_1	Aca_Eryth_1_1	Dip_Musci_1_1	Hym_Tenth_Phylloco_1	Dip_Chiro_1_1	Hem_Cicad_1_3	Hem_Diasp_Lepidosa_ulmi	Hem_Cicad_1_4	Dip_Cerat_1_1	Hem_Aphid_Thecabiu_populimo	Lep_Graci_Phyllocn_1	Hem_Cicad_1_7	Hem_Aphid_Chaitoph_popullel	Hem_Cicad_1_2	Neu_Chrys_Argia_5	Hem_Rhopa_Leptocor_trivitta	Aca_Eriop_Aceria_parapopu	Lep_Lyone_Paraleuc_albella	Hem_Aphid_Pemphigu_betae
fo1_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	1	1	5	0	0	1	9	0
fo2_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	6	1	0	1	4	0	1	3	3	0	6	0
fo3_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	1	1	0	4	1	1	287	8	4
fo4_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	2	0	6	1	0	0	0	2	0	4	0
fo5_00	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	2	1	6	0	0	0	3	0	0	0	3	0	0	0	1	3	0	5	1	0	3	9	1	15	9	1	0	15	0
fo6_00	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	3	3	0	4	5	4	0	7	0	25	20	0
fo7_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	6	0	5	5	1	5	1	0	4	16	0
fo8_00	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	0	1	2	9	0	2	11	0	19	5	122	18	9	4	3	26	0
fo9_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	5	0	0	24	0	0	0	1	1	0	0	0	8	1	0	8	3	6	9	0	7	0	29	4
fo10_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	2	0	1	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	3	1	0	0	3	0	12	5	0
bc1_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	6	0	1	0	2	13
bc2_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	103	1	1	0	0	4	2	0	2	9
bc3_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	9	1	1	0	11	2	0	0	5	4
bc4_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
bc5_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	0	3	10	0	0	3	49
bc6_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	4	3	0	4	1	0	1	2	0	0	0	12
bc7_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	1	1	2	0	1	1	0	4	7	0	3	0	0	3	0	0	0	9	20
bc8_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	3	1	2	0	0	0	5	1	1	3	1
bc9_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	3	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1	10	2	0	1	5	1	0	1	85
bc10_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	4	1	0	4	0	6	0	0	74
na1_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	3	0	20	2	0	0	1	3	1	0	6	26
na2_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	2	0	3	0	2	20
na3_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	5	0	0	5	0
na4_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	2	0	0	0	3	21
na5_00	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	122	1	0	0	0	38	0	0	2	15
na6_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	3	0	6	1	0	0	0	5	0	0	1	23
na7_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	1	6	0	0	2	5	0	0	4	11
na8_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	0	1	0	0	4	2	0	6	13	6	1	5	0
na9_00	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	7	1	3	1	0	3	2	0	1	0	0	1	0	1	1	0	0	0	1	1	2	0	0	7	1	2	1	3	117
na10_00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	9	2	0	4	0	0	2	5	2	0	0	18
fr1_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4	0	0	1	3	0	0	0	0	0	1	6	0	0	7	0	0	1	0	8	2	0	1	4	0	8	2	0	2	15	22	0	30	0
fr2_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	4	0	6	4	2	3	13	1	0	57	0
fr3_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	3	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	1	1	1	2	0	2	41	0
